filename,fileid,classid,class
a_1-0,a_1,0,ambulance
a_1-3,a_1,0,ambulance
a_1-6,a_1,0,ambulance
a_1-9,a_1,0,ambulance
a_1-12,a_1,0,ambulance
a_1-15,a_1,0,ambulance
a_1-18,a_1,0,ambulance
a_1-21,a_1,0,ambulance
a_1-24,a_1,0,ambulance
a_1-27,a_1,0,ambulance
a_1-30,a_1,0,ambulance
a_1-33,a_1,0,ambulance
a_1-36,a_1,0,ambulance
a_1-39,a_1,0,ambulance
a_1-42,a_1,0,ambulance
a_1-45,a_1,0,ambulance
a_1-48,a_1,0,ambulance
a_1-51,a_1,0,ambulance
a_1-54,a_1,0,ambulance
a_1-57,a_1,0,ambulance
a_1-60,a_1,0,ambulance
a_1-63,a_1,0,ambulance
a_1-66,a_1,0,ambulance
a_1-69,a_1,0,ambulance
a_1-72,a_1,0,ambulance
a_1-75,a_1,0,ambulance
a_1-78,a_1,0,ambulance
a_1-81,a_1,0,ambulance
a_1-84,a_1,0,ambulance
a_1-87,a_1,0,ambulance
a_1-90,a_1,0,ambulance
a_1-93,a_1,0,ambulance
a_1-96,a_1,0,ambulance
a_1-99,a_1,0,ambulance
a_1-102,a_1,0,ambulance
a_1-105,a_1,0,ambulance
a_1-108,a_1,0,ambulance
a_2-0,a_2,0,ambulance
a_2-3,a_2,0,ambulance
a_2-6,a_2,0,ambulance
a_2-9,a_2,0,ambulance
a_2-12,a_2,0,ambulance
a_2-15,a_2,0,ambulance
a_2-18,a_2,0,ambulance
a_2-21,a_2,0,ambulance
a_2-24,a_2,0,ambulance
a_2-27,a_2,0,ambulance
a_2-30,a_2,0,ambulance
a_2-33,a_2,0,ambulance
a_2-36,a_2,0,ambulance
a_2-39,a_2,0,ambulance
a_2-42,a_2,0,ambulance
a_2-45,a_2,0,ambulance
a_2-48,a_2,0,ambulance
a_2-51,a_2,0,ambulance
a_2-54,a_2,0,ambulance
a_2-57,a_2,0,ambulance
a_2-60,a_2,0,ambulance
a_2-63,a_2,0,ambulance
a_2-66,a_2,0,ambulance
a_2-69,a_2,0,ambulance
a_2-72,a_2,0,ambulance
a_2-75,a_2,0,ambulance
a_2-78,a_2,0,ambulance
a_2-81,a_2,0,ambulance
a_2-84,a_2,0,ambulance
a_2-87,a_2,0,ambulance
a_2-90,a_2,0,ambulance
a_2-93,a_2,0,ambulance
a_2-96,a_2,0,ambulance
a_2-99,a_2,0,ambulance
a_2-102,a_2,0,ambulance
a_2-105,a_2,0,ambulance
a_2-108,a_2,0,ambulance
a_2-111,a_2,0,ambulance
a_2-114,a_2,0,ambulance
a_2-117,a_2,0,ambulance
a_2-120,a_2,0,ambulance
a_2-123,a_2,0,ambulance
a_2-126,a_2,0,ambulance
a_2-129,a_2,0,ambulance
a_2-132,a_2,0,ambulance
a_2-135,a_2,0,ambulance
a_2-138,a_2,0,ambulance
a_2-141,a_2,0,ambulance
a_2-144,a_2,0,ambulance
a_3-0,a_3,0,ambulance
a_3-3,a_3,0,ambulance
a_3-6,a_3,0,ambulance
a_3-9,a_3,0,ambulance
a_3-12,a_3,0,ambulance
a_3-15,a_3,0,ambulance
a_3-18,a_3,0,ambulance
a_3-21,a_3,0,ambulance
a_3-24,a_3,0,ambulance
a_3-27,a_3,0,ambulance
a_3-30,a_3,0,ambulance
a_3-33,a_3,0,ambulance
a_3-36,a_3,0,ambulance
a_3-39,a_3,0,ambulance
a_3-42,a_3,0,ambulance
a_3-45,a_3,0,ambulance
a_3-48,a_3,0,ambulance
a_3-51,a_3,0,ambulance
a_3-54,a_3,0,ambulance
a_3-57,a_3,0,ambulance
a_3-60,a_3,0,ambulance
a_3-63,a_3,0,ambulance
a_3-66,a_3,0,ambulance
a_3-69,a_3,0,ambulance
a_3-72,a_3,0,ambulance
a_3-75,a_3,0,ambulance
a_3-78,a_3,0,ambulance
a_3-81,a_3,0,ambulance
a_3-84,a_3,0,ambulance
a_3-87,a_3,0,ambulance
a_3-90,a_3,0,ambulance
a_3-93,a_3,0,ambulance
a_3-96,a_3,0,ambulance
a_3-99,a_3,0,ambulance
a_3-102,a_3,0,ambulance
a_3-105,a_3,0,ambulance
a_3-108,a_3,0,ambulance
a_3-111,a_3,0,ambulance
a_3-114,a_3,0,ambulance
a_3-117,a_3,0,ambulance
a_3-120,a_3,0,ambulance
a_3-123,a_3,0,ambulance
a_3-126,a_3,0,ambulance
a_3-129,a_3,0,ambulance
a_3-132,a_3,0,ambulance
a_3-135,a_3,0,ambulance
a_3-138,a_3,0,ambulance
a_3-141,a_3,0,ambulance
a_3-144,a_3,0,ambulance
a_3-147,a_3,0,ambulance
a_3-150,a_3,0,ambulance
a_3-153,a_3,0,ambulance
a_3-156,a_3,0,ambulance
a_3-159,a_3,0,ambulance
a_3-162,a_3,0,ambulance
a_3-165,a_3,0,ambulance
a_3-168,a_3,0,ambulance
a_3-171,a_3,0,ambulance
a_3-174,a_3,0,ambulance
a_3-177,a_3,0,ambulance
a_3-180,a_3,0,ambulance
a_3-183,a_3,0,ambulance
a_3-186,a_3,0,ambulance
a_3-189,a_3,0,ambulance
a_3-192,a_3,0,ambulance
a_3-195,a_3,0,ambulance
a_3-198,a_3,0,ambulance
a_3-201,a_3,0,ambulance
a_3-204,a_3,0,ambulance
a_3-207,a_3,0,ambulance
a_3-210,a_3,0,ambulance
a_3-213,a_3,0,ambulance
a_3-216,a_3,0,ambulance
a_3-219,a_3,0,ambulance
a_3-222,a_3,0,ambulance
a_3-225,a_3,0,ambulance
a_3-228,a_3,0,ambulance
a_3-231,a_3,0,ambulance
a_3-234,a_3,0,ambulance
a_3-237,a_3,0,ambulance
a_3-240,a_3,0,ambulance
a_3-243,a_3,0,ambulance
a_3-246,a_3,0,ambulance
a_3-249,a_3,0,ambulance
a_3-252,a_3,0,ambulance
a_3-255,a_3,0,ambulance
a_3-258,a_3,0,ambulance
a_3-261,a_3,0,ambulance
a_3-264,a_3,0,ambulance
a_3-267,a_3,0,ambulance
a_3-270,a_3,0,ambulance
a_3-273,a_3,0,ambulance
a_3-276,a_3,0,ambulance
a_3-279,a_3,0,ambulance
a_3-282,a_3,0,ambulance
a_3-285,a_3,0,ambulance
a_3-288,a_3,0,ambulance
a_4-0,a_4,0,ambulance
a_4-3,a_4,0,ambulance
a_4-6,a_4,0,ambulance
a_4-9,a_4,0,ambulance
a_4-12,a_4,0,ambulance
a_4-15,a_4,0,ambulance
a_4-18,a_4,0,ambulance
a_4-21,a_4,0,ambulance
a_4-24,a_4,0,ambulance
a_4-27,a_4,0,ambulance
a_4-30,a_4,0,ambulance
a_4-33,a_4,0,ambulance
a_4-36,a_4,0,ambulance
a_4-39,a_4,0,ambulance
a_4-42,a_4,0,ambulance
a_4-45,a_4,0,ambulance
a_4-48,a_4,0,ambulance
a_4-51,a_4,0,ambulance
a_4-54,a_4,0,ambulance
e_1_0,e_1,1,enviroment
e_1_3,e_1,1,enviroment
e_1_6,e_1,1,enviroment
e_1_9,e_1,1,enviroment
e_1_12,e_1,1,enviroment
e_1_15,e_1,1,enviroment
e_1_18,e_1,1,enviroment
e_1_21,e_1,1,enviroment
e_1_24,e_1,1,enviroment
e_1_27,e_1,1,enviroment
e_1_30,e_1,1,enviroment
e_1_33,e_1,1,enviroment
e_1_36,e_1,1,enviroment
e_1_39,e_1,1,enviroment
e_1_42,e_1,1,enviroment
e_1_45,e_1,1,enviroment
e_1_48,e_1,1,enviroment
e_1_51,e_1,1,enviroment
e_1_54,e_1,1,enviroment
